"customerid","contract","tenure","monthlycharges","churn","internetservice","paymentmethod","health_score"
"5606-AMZBO","Month-to-month",10,78.15,"No","Fiber optic","Credit card (automatic)",50
"6199-IPCAO","Two year",29,26.1,"No","No","Mailed check",70
"7665-TOALD","Month-to-month",1,69.6,"Yes","Fiber optic","Electronic check",40
"0112-QWPNC","One year",49,84.35,"Yes","DSL","Electronic check",90
"0324-BRPCJ","Month-to-month",68,100.2,"Yes","Fiber optic","Electronic check",80
"2777-PHDEI","Month-to-month",1,78.05,"Yes","Fiber optic","Electronic check",50
"5640-CAXOA","One year",30,40.35,"No","DSL","Credit card (automatic)",70
"2235-EZAIK","Two year",72,79.2,"No","DSL","Credit card (automatic)",100
"3847-BAERP","Month-to-month",10,20.9,"No","No","Mailed check",30
"1196-AMORA","Month-to-month",7,73.6,"Yes","Fiber optic","Electronic check",50
"4282-YMKNA","Month-to-month",9,74.75,"Yes","Fiber optic","Electronic check",50
"1453-RZFON","Month-to-month",1,49.9,"No","DSL","Mailed check",40
"8263-OKETD","Month-to-month",20,68.9,"No","DSL","Credit card (automatic)",50
"0670-KDOMA","Month-to-month",1,20.25,"No","No","Mailed check",30
"2476-YGEFM","Month-to-month",29,76,"No","Fiber optic","Credit card (automatic)",70
"8687-BAFGU","Month-to-month",1,74,"No","Fiber optic","Electronic check",50
"0641-EVBOJ","Month-to-month",3,82.3,"No","Fiber optic","Mailed check",50
"0829-XXPLX","Month-to-month",20,89.4,"No","Fiber optic","Bank transfer (automatic)",60
"9974-JFBHQ","Month-to-month",64,99.15,"No","Fiber optic","Credit card (automatic)",80
"5356-RHIPP","Month-to-month",1,20.2,"Yes","No","Mailed check",30
"6624-JDRDS","Month-to-month",6,29.45,"No","DSL","Bank transfer (automatic)",30
"0608-JDVEC","Two year",50,19.8,"No","No","Electronic check",80
"9780-FKVVF","Month-to-month",6,59.15,"No","DSL","Bank transfer (automatic)",40
"1919-RTPQD","Month-to-month",7,44.75,"No","DSL","Electronic check",40
"5214-NLTIT","Two year",72,90.8,"No","Fiber optic","Credit card (automatic)",100
"3345-PBBFH","Month-to-month",8,49.55,"No","DSL","Bank transfer (automatic)",40
"5055-BRMNE","Two year",67,106.7,"No","Fiber optic","Credit card (automatic)",100
"9189-JWSHV","Month-to-month",24,93.55,"Yes","Fiber optic","Electronic check",60
"2190-PHBHR","Two year",72,94.45,"No","Fiber optic","Credit card (automatic)",100
"2650-GYRYL","One year",33,19.45,"No","No","Bank transfer (automatic)",60
"0746-JTRFU","Month-to-month",2,25.05,"Yes","DSL","Electronic check",30
"5208-FVQKB","Two year",70,67.95,"No","DSL","Mailed check",90
"7184-LRUUR","One year",22,65.25,"No","DSL","Bank transfer (automatic)",60
"6627-CFOSN","Month-to-month",59,99.45,"No","Fiber optic","Bank transfer (automatic)",80
"3982-JGSFD","One year",36,20.35,"No","No","Credit card (automatic)",60
"1574-DYCWE","Two year",51,19.95,"No","No","Mailed check",80
"7247-XOZPB","One year",53,77.4,"No","DSL","Bank transfer (automatic)",90
"2466-FCCPT","One year",20,19.7,"No","No","Bank transfer (automatic)",50
"6211-WWLTF","Two year",63,99.7,"No","Fiber optic","Credit card (automatic)",100
"4826-TZEVA","Month-to-month",40,74.8,"No","Fiber optic","Credit card (automatic)",70
"6016-NXBNJ","One year",35,19.15,"No","No","Mailed check",60
"9138-EFSMO","One year",26,78.95,"No","Fiber optic","Bank transfer (automatic)",80
"0576-WNXXC","Month-to-month",27,95.55,"Yes","Fiber optic","Electronic check",70
"4632-XJMEX","One year",53,62.85,"No","DSL","Credit card (automatic)",80
"8910-LEDAG","Month-to-month",34,71.55,"No","Fiber optic","Credit card (automatic)",70
"3452-GWUIN","Month-to-month",19,94.95,"No","Fiber optic","Electronic check",60
"2716-GFZOR","Month-to-month",43,86.1,"No","Fiber optic","Credit card (automatic)",70
"3724-UCSHY","Month-to-month",6,19.55,"No","No","Mailed check",30
"8626-XHBIE","Two year",56,24.8,"No","No","Mailed check",80
"4628-CTTLA","Month-to-month",57,39.3,"Yes","DSL","Electronic check",70
"3192-LNKRK","Month-to-month",34,84.05,"No","Fiber optic","Mailed check",70
"4439-YRNVD","Month-to-month",10,36.25,"No","DSL","Electronic check",40
"2876-VBBBL","Month-to-month",1,20.25,"Yes","No","Mailed check",30
"6834-NXDCA","Month-to-month",13,23.9,"Yes","DSL","Electronic check",40
"2208-UGTGR","Month-to-month",56,98.6,"No","Fiber optic","Electronic check",80
"3005-TYFRD","Month-to-month",55,103.65,"No","Fiber optic","Credit card (automatic)",80
"8670-MEFCP","Two year",36,92.9,"No","DSL","Credit card (automatic)",90
"3079-BCHLN","One year",47,19.9,"No","No","Bank transfer (automatic)",60
"7777-UNYHB","Month-to-month",12,20.1,"No","No","Credit card (automatic)",30
"5597-GLBUC","Month-to-month",1,85.45,"Yes","Fiber optic","Electronic check",50
"7278-CKDNC","Month-to-month",24,80.5,"No","Fiber optic","Electronic check",60
"2748-MYRVK","One year",63,99.9,"Yes","Fiber optic","Bank transfer (automatic)",90
"8450-UYIBU","Month-to-month",35,39.85,"No","DSL","Electronic check",60
"2969-VAPYH","One year",67,60.5,"No","DSL","Credit card (automatic)",80
"4822-YCXMX","Month-to-month",25,84.8,"Yes","Fiber optic","Electronic check",70
"7181-OQCUT","Month-to-month",21,103.85,"No","Fiber optic","Mailed check",60
"8474-UMLNT","Month-to-month",13,67.8,"No","DSL","Bank transfer (automatic)",50
"9821-POOTN","Month-to-month",35,75.2,"Yes","Fiber optic","Electronic check",70
"3836-FZSDJ","Two year",71,24.85,"No","No","Bank transfer (automatic)",80
"9142-XMYJH","Month-to-month",29,19.35,"No","No","Credit card (automatic)",50
"6559-ILWKJ","Two year",71,49.35,"Yes","DSL","Electronic check",90
"0187-QSXOE","Month-to-month",7,89,"No","Fiber optic","Electronic check",50
"7733-UDMTP","Month-to-month",57,55,"No","DSL","Electronic check",70
"2649-HWLYB","Two year",65,76.15,"No","DSL","Bank transfer (automatic)",100
"5214-CHIWJ","One year",27,20.3,"No","No","Mailed check",60
"4229-CZMLL","Month-to-month",6,74.9,"Yes","Fiber optic","Electronic check",50
"6904-JLBGY","Two year",72,117.35,"No","Fiber optic","Credit card (automatic)",100
"2465-BLLEU","Month-to-month",1,19.75,"No","No","Mailed check",30
"1685-VAYJF","Month-to-month",11,45.2,"No","DSL","Credit card (automatic)",40
"8874-EJNSR","Two year",39,25.2,"No","No","Mailed check",70
"6917-YACBP","Month-to-month",59,89.75,"No","Fiber optic","Electronic check",80
"5049-MUBWG","One year",26,75,"No","DSL","Bank transfer (automatic)",80
"4223-WOZCM","Month-to-month",2,49.95,"No","DSL","Mailed check",40
"0769-MURVM","Two year",72,65.7,"No","DSL","Bank transfer (automatic)",90
"9253-VIFJQ","One year",65,67.05,"No","DSL","Credit card (automatic)",80
"7030-FZTFM","Two year",72,110.9,"No","Fiber optic","Credit card (automatic)",100
"9741-YLNTD","Month-to-month",6,87.95,"No","Fiber optic","Bank transfer (automatic)",50
"5917-RYRMG","One year",32,19.8,"No","No","Credit card (automatic)",60
"5120-ZBLAI","One year",50,75.7,"No","DSL","Bank transfer (automatic)",90
"1194-BHJYC","Two year",61,62.15,"No","DSL","Mailed check",90
"3663-MITLP","Month-to-month",15,101.25,"Yes","Fiber optic","Electronic check",60
"0906-QVPMS","Two year",72,115.15,"No","Fiber optic","Bank transfer (automatic)",100
"9025-ZRPVR","Month-to-month",9,18.95,"Yes","No","Mailed check",30
"1905-OEILC","Month-to-month",1,19.5,"No","No","Mailed check",30
"7858-GTZSP","Month-to-month",12,86.55,"No","Fiber optic","Electronic check",50
"3285-UCQVC","Month-to-month",37,28.6,"Yes","DSL","Credit card (automatic)",50
"6248-BSHKG","One year",61,20.4,"No","No","Mailed check",70
"4685-TFLLS","One year",18,19.8,"No","No","Bank transfer (automatic)",50
"3470-BTGQO","Month-to-month",21,45.65,"No","DSL","Mailed check",50
"1209-VFFOC","Two year",68,56.4,"No","DSL","Mailed check",90
"8224-DWCKX","Month-to-month",12,73.3,"No","Fiber optic","Credit card (automatic)",50
"5482-PLVPE","Month-to-month",2,24.35,"Yes","DSL","Electronic check",30
"4553-DVPZG","Month-to-month",62,101.35,"No","Fiber optic","Electronic check",80
"4902-OHLSK","Month-to-month",29,98.65,"Yes","Fiber optic","Electronic check",70
"6917-IAYHD","Month-to-month",1,33.6,"No","DSL","Mailed check",40
"0495-ZBNGW","Month-to-month",5,79.9,"Yes","Fiber optic","Bank transfer (automatic)",50
"8620-RJPZN","Month-to-month",1,20.7,"No","No","Electronic check",30
"7572-KPVKK","Two year",62,104.05,"No","Fiber optic","Electronic check",100
"2642-MAWLJ","Two year",36,20.25,"No","No","Bank transfer (automatic)",70
"2357-COQEK","Month-to-month",28,103.3,"Yes","Fiber optic","Electronic check",70
"7103-ZGVNT","One year",69,73.7,"No","DSL","Credit card (automatic)",90
"3737-GCSPV","Month-to-month",11,96.2,"Yes","Fiber optic","Credit card (automatic)",50
"2027-WKXMW","Month-to-month",63,108.75,"No","Fiber optic","Electronic check",80
"7137-NAXML","One year",23,20.15,"No","No","Bank transfer (automatic)",50
"2428-ZMCTB","Month-to-month",10,19.75,"No","No","Credit card (automatic)",30
"2961-VNFKL","Two year",71,25.95,"No","No","Credit card (automatic)",80
"1768-HNVGJ","Month-to-month",45,70.05,"No","DSL","Electronic check",70
"6963-KQYQB","Two year",70,24.05,"No","No","Mailed check",80
"5934-RMPOV","Month-to-month",22,84.75,"No","Fiber optic","Electronic check",60
"1207-BLKSA","Two year",52,23.05,"No","No","Mailed check",80
"4088-YLDSU","One year",55,104.15,"Yes","Fiber optic","Electronic check",90
"8316-BBQAY","Two year",65,59.95,"No","DSL","Credit card (automatic)",90
"1166-PQLGG","Two year",72,19.55,"No","No","Bank transfer (automatic)",80
"3146-JTQHR","One year",10,19.6,"No","No","Bank transfer (automatic)",40
"4291-YZODP","One year",7,20.05,"No","No","Mailed check",40
"4395-PZMSN","Month-to-month",5,85.55,"No","Fiber optic","Electronic check",50
"6427-FEFIG","Two year",24,78.6,"No","DSL","Credit card (automatic)",80
"0017-IUDMW","Two year",72,116.8,"No","Fiber optic","Credit card (automatic)",100
"8706-HRADD","Month-to-month",21,43.55,"No","DSL","Mailed check",50
"9955-QOPOY","One year",69,60.8,"No","DSL","Credit card (automatic)",80
"4385-ZKVNW","Month-to-month",44,54.9,"No","DSL","Bank transfer (automatic)",60
"5446-DKWYW","One year",61,65.2,"No","DSL","Electronic check",80
"2034-CGRHZ","Month-to-month",24,102.95,"Yes","Fiber optic","Credit card (automatic)",60
"5797-APWZC","Month-to-month",1,90.6,"Yes","Fiber optic","Electronic check",50
"3683-QKIUE","Month-to-month",6,50.8,"Yes","DSL","Bank transfer (automatic)",40
"4228-ZGYUW","Month-to-month",4,90.05,"Yes","Fiber optic","Electronic check",50
"9031-ZVQPT","Two year",72,108.2,"No","Fiber optic","Electronic check",100
"2990-IAJSV","Two year",72,92,"No","DSL","Bank transfer (automatic)",100
"8107-KNCIM","Month-to-month",14,75.1,"No","Fiber optic","Electronic check",60
"9027-YFHQJ","Month-to-month",7,25.05,"No","No","Bank transfer (automatic)",30
"5176-LDKUH","One year",48,75.15,"No","Fiber optic","Electronic check",80
"4644-OBGFZ","One year",55,19.5,"No","No","Mailed check",70
"7926-IJOOU","Month-to-month",1,19.3,"No","No","Credit card (automatic)",30
"6480-YAGIY","One year",45,112.2,"No","Fiber optic","Credit card (automatic)",80
"4029-HPFVY","Month-to-month",3,70.3,"No","Fiber optic","Mailed check",50
"7602-DBTOU","Two year",71,19.6,"No","No","Mailed check",80
"5345-BMKWB","Month-to-month",8,20.25,"No","No","Mailed check",30
"3519-ZKXGG","Month-to-month",3,75.85,"Yes","Fiber optic","Electronic check",50
"5457-COLHT","Two year",69,80.65,"No","DSL","Bank transfer (automatic)",100
"6416-TVAIH","Month-to-month",1,68.5,"Yes","Fiber optic","Electronic check",40
"5451-YHYPW","Two year",72,115.75,"No","Fiber optic","Credit card (automatic)",100
"5108-ADXWO","Month-to-month",11,73.5,"Yes","Fiber optic","Electronic check",50
"7998-WNZEM","Two year",71,80.6,"No","DSL","Bank transfer (automatic)",100
"3066-RRJIO","Month-to-month",1,69.95,"Yes","Fiber optic","Mailed check",40
"4664-NJCMS","Two year",33,59.55,"No","DSL","Bank transfer (automatic)",80
"0307-BCOPK","One year",16,19.05,"No","No","Mailed check",50
"7629-WFGLW","One year",56,95.65,"No","Fiber optic","Electronic check",90
"2542-HYGIQ","Month-to-month",1,19.95,"No","No","Credit card (automatic)",30
"6715-OFDBP","Month-to-month",5,70.05,"Yes","DSL","Electronic check",50
"5016-LIPDW","One year",57,19.4,"No","No","Mailed check",70
"6481-LXPWL","One year",56,36.1,"No","DSL","Credit card (automatic)",80
"1567-DSCIC","Month-to-month",8,94,"Yes","Fiber optic","Electronic check",50
"2150-UWTFY","Month-to-month",22,61.15,"Yes","DSL","Mailed check",50
"6124-ACRHJ","Month-to-month",1,19.75,"No","No","Mailed check",30
"9362-MWODR","Month-to-month",40,64.1,"No","DSL","Credit card (automatic)",60
"9975-GPKZU","Two year",46,19.75,"No","No","Credit card (automatic)",70
"9625-RZFUK","Two year",63,19.7,"No","No","Mailed check",80
"5153-LXKDT","Two year",68,110.2,"No","Fiber optic","Electronic check",100
"5161-UBZXI","Two year",69,106.35,"No","Fiber optic","Credit card (automatic)",100
"1020-JPQOW","Month-to-month",56,90.55,"No","Fiber optic","Electronic check",80
"7919-ZODZZ","One year",10,65.9,"No","DSL","Mailed check",50
"0565-JUPYD","One year",63,104.5,"No","Fiber optic","Credit card (automatic)",90
"6867-ACCZI","Two year",24,52.5,"No","DSL","Mailed check",70
"5939-XAIXZ","Month-to-month",19,56.1,"No","DSL","Mailed check",50
"9054-FOWNV","Month-to-month",22,88.75,"No","Fiber optic","Electronic check",60
"2683-BPJSO","Month-to-month",29,84.45,"Yes","Fiber optic","Electronic check",70
"2157-MXBJS","One year",13,75.3,"Yes","DSL","Mailed check",70
"8207-VVMYB","Two year",70,26,"No","No","Bank transfer (automatic)",80
"9732-EQMWY","Month-to-month",49,99.4,"No","Fiber optic","Electronic check",80
"9360-AHGNL","One year",43,109.55,"Yes","Fiber optic","Mailed check",80
"1087-UDSIH","Month-to-month",3,19.6,"Yes","No","Mailed check",30
"5269-NRGDP","One year",42,73.15,"No","DSL","Electronic check",80
"6195-MELTI","One year",57,54.65,"No","DSL","Mailed check",80
"5485-WUYWF","Month-to-month",2,66.4,"Yes","DSL","Bank transfer (automatic)",40
"2121-JAFOM","Two year",72,115.55,"No","Fiber optic","Credit card (automatic)",100
"8818-DOPVL","Month-to-month",46,104.45,"No","Fiber optic","Electronic check",70
"2632-UCGVD","Month-to-month",66,100.05,"Yes","Fiber optic","Credit card (automatic)",80
"5445-PZWGX","One year",62,102,"Yes","Fiber optic","Electronic check",90
"1227-UDMZR","Two year",72,91.15,"No","DSL","Bank transfer (automatic)",100
"5198-HQAEN","One year",35,89.7,"No","Fiber optic","Electronic check",80
"9170-CCKOU","Month-to-month",17,90.2,"Yes","Fiber optic","Credit card (automatic)",60
"2167-FQSTQ","Two year",72,92.4,"No","DSL","Electronic check",100
"2819-GWENI","One year",28,19.9,"No","No","Mailed check",60
"1043-YCUTE","Two year",56,25.15,"Yes","No","Credit card (automatic)",80
"3814-MLAXC","Month-to-month",31,79.85,"Yes","Fiber optic","Credit card (automatic)",70
"3572-UUHRS","One year",45,18.85,"No","No","Bank transfer (automatic)",60
"2692-PFYTJ","Month-to-month",1,25.75,"No","No","Mailed check",30
"1226-UDFZR","Month-to-month",2,49.6,"Yes","DSL","Mailed check",40
"5955-EPOAZ","Month-to-month",6,20.95,"No","No","Mailed check",30
"6821-JPCDC","One year",48,97.05,"No","Fiber optic","Electronic check",80
"8815-LMFLX","Month-to-month",25,25.4,"No","No","Bank transfer (automatic)",50
"9135-HSWOC","Two year",64,19.7,"No","No","Bank transfer (automatic)",80
"8582-KRHPJ","Month-to-month",50,35,"No","DSL","Mailed check",70
"5811-IWXYM","One year",52,101.25,"No","Fiber optic","Bank transfer (automatic)",90
"7044-YAACC","Month-to-month",4,70.2,"No","Fiber optic","Electronic check",50
"8189-XRIKE","Month-to-month",32,90.95,"No","Fiber optic","Electronic check",70
"1506-YJTYT","Two year",45,73.85,"No","DSL","Credit card (automatic)",90
"4123-DVHPH","Month-to-month",9,88.05,"No","Fiber optic","Electronic check",50
"6425-YQLLO","One year",66,105.95,"Yes","Fiber optic","Credit card (automatic)",90
"5442-UTCVD","Month-to-month",3,91.85,"Yes","Fiber optic","Electronic check",50
"2228-BZDEE","Two year",54,20.1,"No","No","Mailed check",80
"7734-DBOAI","Month-to-month",1,40.1,"Yes","DSL","Electronic check",40
"2789-CZANW","Two year",64,110.3,"No","Fiber optic","Bank transfer (automatic)",100
"2091-RFFBA","Month-to-month",31,73.9,"Yes","Fiber optic","Electronic check",70
"2114-MGINA","Month-to-month",14,89.8,"Yes","Fiber optic","Mailed check",60
"7596-LDUXP","One year",12,85.15,"No","Fiber optic","Credit card (automatic)",60
"3740-RLMVT","One year",67,60.95,"No","DSL","Bank transfer (automatic)",80
"4489-SNOJF","Month-to-month",35,72.25,"Yes","DSL","Electronic check",70
"2192-OZITF","Two year",45,73.55,"No","DSL","Mailed check",90
"5651-CPDND","Month-to-month",10,46,"No","DSL","Mailed check",40
"2186-QZEYA","Month-to-month",29,58.55,"No","DSL","Bank transfer (automatic)",60
"1131-ALZWV","One year",24,24.6,"No","No","Bank transfer (automatic)",50
"7729-XBTWX","Two year",66,19.75,"No","No","Mailed check",80
"9134-WYRVP","One year",51,86.35,"No","Fiber optic","Mailed check",90
"3284-SVCRO","Two year",45,25.5,"No","No","Mailed check",70
"9732-OUYRN","One year",49,19,"No","No","Credit card (automatic)",70
"0559-CKHUS","Two year",29,19.55,"No","No","Mailed check",70
"2931-SVLTV","Month-to-month",40,110.1,"No","Fiber optic","Credit card (automatic)",70
"6899-PPEEA","Month-to-month",37,96.55,"Yes","Fiber optic","Electronic check",70
"7504-UWHNB","Month-to-month",25,69.75,"No","Fiber optic","Electronic check",60
"2582-FFFZR","Month-to-month",22,50.6,"No","DSL","Electronic check",50
"8908-NMQTX","Two year",72,65.6,"No","DSL","Bank transfer (automatic)",90
"2187-LZGPL","Month-to-month",7,40.1,"Yes","DSL","Credit card (automatic)",40
"1431-AIDJQ","Two year",33,82.1,"No","DSL","Credit card (automatic)",90
"6288-LBEAR","Month-to-month",23,79.1,"No","Fiber optic","Mailed check",60
"4597-NUCQV","Month-to-month",24,101.25,"Yes","Fiber optic","Electronic check",60
"9019-QVLZD","Month-to-month",1,79.55,"Yes","Fiber optic","Electronic check",50
"8413-YNHNV","Two year",69,90.65,"No","DSL","Mailed check",100
"5808-TOTXO","One year",3,20.55,"No","No","Credit card (automatic)",40
"4369-NYSCF","One year",56,75.75,"No","DSL","Bank transfer (automatic)",90
"6333-YDVLT","One year",65,110,"No","Fiber optic","Credit card (automatic)",90
"5324-KTGCG","One year",71,20.85,"No","No","Electronic check",70
"5599-HVLTW","Month-to-month",14,80.35,"No","Fiber optic","Bank transfer (automatic)",60
"7394-LWLYN","Month-to-month",2,70.15,"No","Fiber optic","Electronic check",50
"3707-LRWZD","One year",32,84.05,"Yes","Fiber optic","Electronic check",80
"6873-UDNLD","Month-to-month",40,67.45,"No","DSL","Electronic check",60
"2700-LUEVA","Month-to-month",1,20.75,"No","No","Credit card (automatic)",30
"1455-ESIQH","Month-to-month",1,89.1,"Yes","Fiber optic","Electronic check",50
"0958-YHXGP","Month-to-month",7,69.9,"No","Fiber optic","Mailed check",40
"1101-SSWAG","Month-to-month",15,51.1,"No","DSL","Electronic check",50
"2979-SXESE","Month-to-month",17,94.4,"Yes","Fiber optic","Electronic check",60
"4013-TLDHQ","Month-to-month",19,78.25,"Yes","Fiber optic","Electronic check",60
"5743-KHMNA","Two year",71,25.55,"No","No","Bank transfer (automatic)",80
"4194-FJARJ","Two year",54,60,"No","DSL","Bank transfer (automatic)",90
"5325-UWTWJ","Month-to-month",31,90.55,"No","Fiber optic","Credit card (automatic)",70
"3969-GYXEL","Month-to-month",11,76.4,"No","Fiber optic","Electronic check",50
"9208-OLGAQ","Month-to-month",18,84.95,"No","Fiber optic","Electronic check",60
"3244-CQPHU","Two year",72,110.1,"No","Fiber optic","Bank transfer (automatic)",100
"2674-MLXMN","Month-to-month",71,99.65,"No","Fiber optic","Credit card (automatic)",80
"9708-HPXWZ","Month-to-month",5,45.4,"No","DSL","Credit card (automatic)",40
"6992-TKNYO","One year",38,69,"No","DSL","Credit card (automatic)",70
"4468-YDOVK","Month-to-month",5,48.65,"No","DSL","Bank transfer (automatic)",40
"3754-DXMRT","Month-to-month",2,44.15,"Yes","DSL","Electronic check",40
"5792-JALQC","Two year",52,59.85,"No","DSL","Bank transfer (automatic)",90
"7130-VTEWQ","Month-to-month",8,75.75,"Yes","Fiber optic","Electronic check",50
"2200-DSAAL","Two year",68,80.65,"No","DSL","Electronic check",100
"4302-ZYFEL","One year",69,20.55,"No","No","Credit card (automatic)",70
"9351-LZYGF","Month-to-month",42,66.4,"No","DSL","Credit card (automatic)",60
"4366-CTOUZ","Two year",50,100.2,"No","Fiber optic","Mailed check",100
"6121-VZNQB","Month-to-month",1,19.1,"Yes","No","Mailed check",30
"7903-CMPEY","Month-to-month",1,80.3,"Yes","Fiber optic","Electronic check",50
"1518-OMDIK","Month-to-month",33,44.55,"No","DSL","Credit card (automatic)",60
"6671-NGWON","Month-to-month",7,20.35,"No","No","Mailed check",30
"0595-ITUDF","Month-to-month",64,91.8,"No","Fiber optic","Electronic check",80
"6996-KNSML","Month-to-month",1,74.9,"Yes","Fiber optic","Electronic check",50
"1955-IBMMB","Two year",59,20.2,"No","No","Bank transfer (automatic)",80
"0096-BXERS","Month-to-month",6,50.35,"No","DSL","Electronic check",40
"3806-YAZOV","Month-to-month",3,18.8,"No","No","Mailed check",30
"7998-ZLXWN","Month-to-month",15,20.45,"No","No","Credit card (automatic)",40
"6253-WRFHY","One year",13,64.75,"No","DSL","Electronic check",60
"9133-AYJZG","Month-to-month",23,98.7,"No","Fiber optic","Credit card (automatic)",60
"2675-OTVVJ","Month-to-month",31,89.45,"No","Fiber optic","Electronic check",70
"8680-CGLTP","One year",29,58.75,"No","DSL","Electronic check",70
"8430-TWCBX","One year",49,20.7,"No","No","Credit card (automatic)",70
"5018-GWURO","Month-to-month",56,85.6,"No","Fiber optic","Bank transfer (automatic)",80
"6741-QRLUP","Two year",63,80.3,"No","DSL","Credit card (automatic)",100
"4737-HOBAX","Two year",63,79.8,"No","DSL","Credit card (automatic)",100
"0537-QYZZN","Month-to-month",24,79.85,"No","Fiber optic","Electronic check",60
"3340-QBBFM","One year",36,54.1,"No","DSL","Credit card (automatic)",70
"1704-NRWYE","Month-to-month",9,80.85,"Yes","Fiber optic","Electronic check",50
"2592-SEIFQ","Month-to-month",3,24.75,"Yes","DSL","Electronic check",30
"8200-KLNYW","One year",21,80.9,"No","DSL","Mailed check",70
"3372-CDXFJ","One year",13,24.5,"No","No","Bank transfer (automatic)",50
"4781-ZXYGU","Month-to-month",1,20.15,"No","No","Bank transfer (automatic)",30
"7632-YUTXB","One year",25,20.05,"No","No","Mailed check",60
"2718-YSKCS","Two year",71,19.6,"No","No","Bank transfer (automatic)",80
"9896-UYMIE","One year",66,114.3,"No","Fiber optic","Bank transfer (automatic)",90
"0853-NWIFK","One year",45,100.3,"No","Fiber optic","Electronic check",80
"8212-CRQXP","Month-to-month",22,80,"No","Fiber optic","Credit card (automatic)",60
"6980-CDGFC","One year",67,20.85,"No","No","Bank transfer (automatic)",70
"7691-XVTZH","Two year",68,89.95,"No","Fiber optic","Bank transfer (automatic)",100
"2520-SGTTA","Two year",0,20,"No","No","Mailed check",50
"7481-ATQQS","Month-to-month",49,90.85,"Yes","Fiber optic","Credit card (automatic)",80
"2277-VWCNI","Month-to-month",4,48.75,"No","DSL","Mailed check",40
"1088-CNNKB","One year",63,80,"No","DSL","Credit card (automatic)",90
"8642-GVWRF","Month-to-month",2,79.7,"Yes","Fiber optic","Bank transfer (automatic)",50
"1930-BZLHI","One year",21,20.35,"No","No","Mailed check",50
"3400-ESFUW","Two year",55,57.55,"Yes","DSL","Bank transfer (automatic)",90
"5868-YTYKS","Month-to-month",1,20.25,"No","No","Mailed check",30
"3525-DVKFN","Two year",17,19.4,"No","No","Mailed check",60
"1482-OXZSY","Month-to-month",30,100.4,"No","Fiber optic","Bank transfer (automatic)",70
"0377-JBKKT","Month-to-month",22,57.95,"No","DSL","Mailed check",50
"5778-BVOFB","Month-to-month",9,59.5,"No","DSL","Bank transfer (automatic)",40
"3373-YZZYM","Month-to-month",1,19.2,"No","No","Mailed check",30
"2057-ZBLPD","Month-to-month",21,86.5,"Yes","Fiber optic","Electronic check",60
"0228-MAUWC","Month-to-month",19,59.55,"No","DSL","Electronic check",50
"5502-RLUYV","Month-to-month",69,103.95,"Yes","Fiber optic","Electronic check",80
"0023-HGHWL","Month-to-month",1,25.1,"Yes","DSL","Electronic check",30
"7663-YJHSN","Two year",72,103.95,"No","Fiber optic","Bank transfer (automatic)",100
"4915-BFSXL","Two year",70,68.95,"No","DSL","Credit card (automatic)",90
"3086-RUCRN","Month-to-month",66,103.1,"No","Fiber optic","Bank transfer (automatic)",80
"5215-LNLDJ","Month-to-month",7,24.7,"No","DSL","Electronic check",30
"7576-JMYWV","Month-to-month",46,110.2,"No","Fiber optic","Electronic check",70
"9039-RBEEE","Month-to-month",39,48.95,"Yes","DSL","Credit card (automatic)",60
"0257-KXZGU","Month-to-month",32,62.45,"No","DSL","Bank transfer (automatic)",60
"1307-ATKGB","Month-to-month",24,89.55,"No","Fiber optic","Electronic check",60
"8417-FMLZI","Month-to-month",6,83.55,"Yes","Fiber optic","Credit card (automatic)",50
"3714-XPXBW","Month-to-month",37,78.9,"No","DSL","Credit card (automatic)",70
"1850-AKQEP","Month-to-month",8,20.35,"No","No","Mailed check",30
"2824-DXNKN","Two year",72,71.45,"No","DSL","Bank transfer (automatic)",100
"5227-JSCFE","Two year",71,46.35,"No","DSL","Credit card (automatic)",90
"0848-ZGQIJ","Month-to-month",16,94.65,"No","Fiber optic","Bank transfer (automatic)",60
"3621-CHYVB","Month-to-month",57,49.9,"No","DSL","Bank transfer (automatic)",70
"8042-RNLKO","One year",66,25.45,"No","No","Bank transfer (automatic)",70
"1792-UXAFY","Month-to-month",17,89.15,"Yes","Fiber optic","Electronic check",60
"5372-FBKBN","Month-to-month",21,20.75,"No","No","Mailed check",40
"0420-TXVSG","Two year",66,66.1,"No","DSL","Credit card (automatic)",90
"6217-TOWGS","Month-to-month",17,75.4,"No","DSL","Bank transfer (automatic)",60
"0515-YPMCW","Month-to-month",1,70.45,"Yes","Fiber optic","Mailed check",50
"0378-XSZPU","One year",58,60.3,"Yes","DSL","Credit card (automatic)",80
"1045-LTCYT","Month-to-month",8,21.05,"No","No","Credit card (automatic)",30
"1544-JJMYL","One year",27,69.35,"No","DSL","Credit card (automatic)",70
"4636-JGAAI","Month-to-month",34,88.85,"No","Fiber optic","Mailed check",70
"6874-SGLHU","One year",30,97,"No","Fiber optic","Bank transfer (automatic)",80
"5951-AOFIH","Month-to-month",33,66.4,"No","DSL","Credit card (automatic)",60
"4729-XKASR","Month-to-month",1,24.75,"Yes","DSL","Electronic check",30
"3059-NGMXB","Month-to-month",14,69.2,"No","DSL","Mailed check",50
"8652-YHIYU","One year",16,79.5,"No","Fiber optic","Credit card (automatic)",70
"5278-PNYOX","Two year",49,100.65,"No","Fiber optic","Credit card (automatic)",100
